SALES_CHANNEL,TOTAL_PRICE,FINAL_RESULT,HOUR_OF_DAY,ACTIVE_WATCH_DURATION_MINS,ORDER_HOLD_DURATION_MINS,ACCOUNT_OPEN_TO_ORDER_MINS,CASECLOSE_TO_ORDERCLOSE_MINS,CASEOPEN_TO_CASECLOSE_MINS,Risk Label
ONLINE,842.41,GREEN,19,28.35,30.32,574460.98,4591.62403938334,4040.2939254951734,Good
TELESALES,2500.9,GREEN,14,19.511607066635072,8.48,76136.08,4591.62403938334,4040.2939254951734,Good
RETAIL,635.76,GREEN,22,18.85,20.35,17400.52,4591.62403938334,4040.2939254951734,Good
TELESALES,2067.14,GREEN,1,15.33,17.67,49179.7,4591.62403938334,4040.2939254951734,Good
RETAIL,635.76,GREEN,14,19.511607066635072,6.32,38644.95,4591.62403938334,4040.2939254951734,Good
TELESALES,635.76,GREEN,16,19.511607066635072,15.38,6.12,4591.62403938334,4040.2939254951734,Good
RETAIL,762.99,GREEN,17,19.27,21.18,488919.73,4591.62403938334,4040.2939254951734,Good
TELESALES,192.36,GREEN,14,19.511607066635072,13.38,14097.7,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,20,19.511607066635072,36.8472312529113,522208.08,4591.62403938334,4040.2939254951734,Good
TELESALES,254.16,GREEN,17,19.511607066635072,11.82,3.53,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,12,18.38,85.28,862226.72,4591.62403938334,4040.2939254951734,Collections
TELESALES,748.99,GREEN,13,19.511607066635072,13.42,4.47,4591.62403938334,4040.2939254951734,Good
RETAIL,650.85,GREEN,16,19.511607066635072,193.17,1.98,4591.62403938334,4040.2939254951734,Good
ONLINE,802.26,GREEN,2,19.511607066635072,7.8,165066.93,4591.62403938334,4040.2939254951734,Good
ONLINE,261.96,GREEN,23,19.511607066635072,6.23,697052.85,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,23,22.25,23.1,9.27,4591.62403938334,4040.2939254951734,Good
RETAIL,130.04,GREEN,19,19.511607066635072,6.45,1.4,4591.62403938334,4040.2939254951734,Good
RETAIL,607.04,GREEN,14,19.511607066635072,17.73,28.45,4591.62403938334,4040.2939254951734,Good
RETAIL,504.96,GREEN,18,19.511607066635072,12.95,7.6,4591.62403938334,4040.2939254951734,Good
ONLINE,485.98,GREEN,2,19.511607066635072,17.08,10.42,4591.62403938334,4040.2939254951734,Good
ONLINE,1226.03,GREEN,8,14.13,15.57,15658.3,4591.62403938334,4040.2939254951734,Good
TELESALES,127.71,GREEN,18,19.511607066635072,19.25,24.93,4591.62403938334,4040.2939254951734,Good
ONLINE,599.76,GREEN,3,19.511607066635072,10.2,470780.7,4591.62403938334,4040.2939254951734,Good
TELESALES,794.76,GREEN,15,19.511607066635072,39.02,261722.03,4591.62403938334,4040.2939254951734,Good
ONLINE,699.84,GREEN,4,19.511607066635072,16.33,179248.17,4591.62403938334,4040.2939254951734,Good
ONLINE,1390.6,GREEN,0,19.511607066635072,11.48,378569.07,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,23,19.511607066635072,36.8472312529113,5706.45,4591.62403938334,4040.2939254951734,Good
TELESALES,647.61,GREEN,23,16.13,17.65,9.03,4591.62403938334,4040.2939254951734,Good
